set_id;reference_yt_id;candidate_yt_id;sample_group;label;nlabel;origin;seed;ditto_pred;re-move_pred;music_ratio;non_music_ratio;overlap_ratio
21;gORyrU1xQpg;Dh_DfxWSA-s;;Other;1.0;staff;0;0.9998034738907818;0.004068212;;;
21;gORyrU1xQpg;R7-XNVa5Gic;;Other;1.0;staff;0;0.3714871000256127;-0.021654665;;;
21;jFNgBqg841M;unZZ17vgYgo;;Other;1.0;staff;0;0.8244930649647428;0.0073708957;;;
21;Hc-V4NTOn5s;L-0Srcqlydg;;Other;1.0;staff;0;0.999804020668066;0.04863786;;;
21;sRdJQRIEslQ;lH5x1ChYhcI;;Version;2.0;staff;0;0.9998041189337998;0.6149903;;;
21;STuFITcXas0;AmTcG2W6N7Q;re-move_favs;Version;2.0;worker;0;0.3155578406765309;0.57267207;0.8904878225065478;0.0;0.0
21;STuFITcXas0;FUPbOa6wvAU;re-move_favs;Other;1.0;worker;0;0.0033261657995004024;0.2451448;0.8096358846637682;0.4383382558935317;0.2512229648972936
21;STuFITcXas0;Lxk-9VFycjc;mutual_unconfident;Other;1.0;worker;0;0.5433368064285253;0.23119307;0.923465438741722;0.1157183878311257;0.0864821922858029
21;STuFITcXas0;ODsC3nuGluE;ditto_favs;Version;2.0;worker;0;0.9998040876473019;-0.12777445;0.8430717136548912;0.0;0.0
21;STuFITcXas0;Qkn2PFxFe1Y;ditto_favs;Other;1.0;worker;0;0.9998016949125619;-0.10478677;0.9981823211020612;0.007372449509641;0.007372449509641
21;STuFITcXas0;bUTklFbeZWE;mutual_unconfident;Other;1.0;worker;0;0.5370434466493423;0.15736452;;;
21;STuFITcXas0;dHoo6LAK_HA;re-move_favs;Other;1.0;worker;0;0.0006466698259283143;0.3130613;0.9514654418673442;0.1593968584702116;0.1593968584702116
21;STuFITcXas0;uwevOLbBrd8;ditto_favs;Other;1.0;worker;0;0.9998015412247655;-0.10654728;0.9255981139542164;0.3168731001469871;0.2448480416565193
21;STuFITcXas0;zCWJQEnzp8Y;mutual_unconfident;Other;1.0;worker;0;0.49575372563481324;0.15396585;0.7590648444550993;0.2299233028260378;0.0159672199345667
21;7lV6GVESBew;2dMGyB5kGyU;;Other;1.0;staff;0;0.9998036907629655;0.023208138;;;
58;uZx2t-Od_1g;oaSIx881oqM;;Version;2.0;staff;0;0.9998044439241713;0.26662552;;;
58;Di5wQ0UwOKM;yT9Fk4ORXnQ;;Version;2.0;staff;0;0.9998040134736765;0.31454974;;;
58;mEl_eQQ_q0c;0u0M4CMq7uI;mutual_unconfident;Other;1.0;worker;0;0.5469809052305056;0.14061162;0.972722634539333;0.0;0.0
58;mEl_eQQ_q0c;7ZA3HIGsPM0;ditto_favs;Version;2.0;worker;0;0.9998043770667167;-0.06553931;0.7960807433815502;0.0685228106236353;0.0283713794691593
58;mEl_eQQ_q0c;B_rt1JsAdQs;re-move_favs;Other;1.0;worker;0;0.000632136591975363;0.3022968;0.9912975724155874;0.0074101309551341;0.0074101309551341
58;mEl_eQQ_q0c;GgiCroHhyZQ;ditto_favs;No Music;0.0;worker;0;0.9998042685729005;-0.066436306;0.0;0.6965090041643723;0.0
58;mEl_eQQ_q0c;Q7sd7EhnB44;re-move_favs;Version;2.0;worker;0;0.003482706720165707;0.27518;0.9802854732154248;0.0;0.0
58;mEl_eQQ_q0c;XXkTKkspQBI;re-move_favs;Other;1.0;worker;0;0.0006159291520474452;0.299767;0.9794752230456948;0.0;0.0
58;mEl_eQQ_q0c;dWad144G8pQ;mutual_unconfident;Other;1.0;worker;0;0.5943780363475923;0.17831753;0.9577540366682018;0.0377165729154673;0.0377165729154673
58;mEl_eQQ_q0c;kMU2S4G7qkY;mutual_unconfident;Other;1.0;worker;0;0.5240620404025806;0.19473867;0.9693227684435202;0.0;0.0
58;mEl_eQQ_q0c;wvm0nOtExb0;ditto_favs;Other;1.0;worker;0;0.999803663058619;-0.055762544;0.8826582645198919;0.0;0.0
63;h3IMZL7QDpo;CFFPIvP9UhI;;Uncertain;;staff;0;0.9998046391438858;0.43389153;;;
63;uhWb-Avb9Yc;7BvN_0PAqlQ;mutual_unconfident;Other;1.0;worker;0;0.48374613332052296;0.28145626;0.9799006935300876;0.0048162565483527;0.0048162565483527
63;uhWb-Avb9Yc;BSByOeew1rU;ditto_favs;Other;1.0;worker;0;0.999795354106339;-0.10492949;0.9615642819154104;0.0;0.0
63;uhWb-Avb9Yc;BaJwCYzFRWU;mutual_unconfident;Other;1.0;expert;0;0.5288608025423799;0.20073086;0.9868742768855387;0.851792894290689;0.845869684750733
63;uhWb-Avb9Yc;DvTVMf9fLJg;ditto_favs;Other;1.0;worker;0;0.9975443370579803;-0.082678415;0.9977870233683306;0.0;0.0
63;uhWb-Avb9Yc;FhIBYl-WMQc;re-move_favs;Other;1.0;worker;0;0.0006136568334499382;0.4215781;0.9920767525713904;0.0170895190794941;0.0170895190794941
63;uhWb-Avb9Yc;SxwP9FHtFiE;mutual_unconfident;Other;1.0;worker;0;0.5164280277675166;0.20582686;0.949305759200394;0.0;0.0
63;uhWb-Avb9Yc;eKPUD81KuBY;re-move_favs;Other;1.0;expert;0;0.0012944250540680713;0.41964787;0.7690458732899678;0.2200360657524142;0.0048888688640021
63;uhWb-Avb9Yc;tgBgbuq6dp8;ditto_favs;Version;2.0;worker;0;0.9998044747809227;-0.09049021;0.979808743086129;0.0;0.0
63;uhWb-Avb9Yc;zowz-EU9bI0;re-move_favs;Other;1.0;expert;0;0.0006142274925678981;0.417065;0.9981863986481536;0.0;0.0
63;h3bk0rI53z0;dq17JemTNuY;;Uncertain;;staff;0;0.9998041306999661;0.074187554;;;
81;P6tNV3DyaFU;0eP_aEyXTfA;ditto_favs;Version;2.0;worker;0;0.9998045080560108;-0.02978862;-1.0;-1.0;-1.0
81;P6tNV3DyaFU;5rJbYDh1lVw;ditto_favs;Version;2.0;worker;0;0.99980461753488;-0.044876117;0.9957510468024942;0.0;0.0
81;P6tNV3DyaFU;AdSyTDp0Ssg;re-move_favs;Other;1.0;worker;0;0.0022773284627459756;0.49943814;0.8640631989711144;0.0050689385224948;0.0050689385224948
81;P6tNV3DyaFU;gssRNw-Zt-4;mutual_unconfident;Other;1.0;worker;0;0.4964505918515605;0.37597942;0.9306151663850372;0.004982270484016;0.004982270484016
81;P6tNV3DyaFU;nkPNvuxeiSE;mutual_unconfident;Other;1.0;worker;0;0.5578632270473489;0.35987258;0.9912725261970464;0.0466574147663708;0.0466574147663708
81;P6tNV3DyaFU;raNc3s-coD4;re-move_favs;No Music;0.0;worker;0;0.0006267845654021054;0.47457746;0.808992874578933;0.137346705292926;0.0151344071490349
81;P6tNV3DyaFU;tZP1WNqbjmA;mutual_unconfident;Other;1.0;worker;0;0.4592489568432916;0.2376317;0.8796355455924225;0.0678386485481223;0.0678386485481223
81;P6tNV3DyaFU;w73hEZKnDeA;re-move_favs;Other;1.0;worker;0;0.0006520680132996448;0.46119595;0.9887683086945184;0.0;0.0
81;P6tNV3DyaFU;xT-hG6-Hk-Y;ditto_favs;Version;2.0;worker;0;0.9998044273284973;-0.0023951754;0.4762239079592448;0.5197269533334447;0.0815710827024414
81;okF_Q56JoMc;0mEAPqxED70;;Version;2.0;staff;0;0.9998047285350641;0.52294475;;;
81;hOKNau9pi24;SHcWp6LHJrs;;Version;2.0;staff;0;0.9998045152322483;0.5718811;;;
81;K8OnxLxfOXs;UIEBqsT4B94;;Version;2.0;staff;0;0.9998045930355738;0.482255;;;
81;LG1EnoR3LB0;OAt-2q3XcCA;;Version;2.0;staff;0;0.9998034685502348;0.58203477;;;
81;hdSuigNFZKI;Lg46A0UrDT4;;Version;2.0;staff;0;0.9998045064716113;0.4750248;;;
96;0IagRZBvLtw;YCEz0NWKFBg;;Version;2.0;staff;0;0.9998014110882355;0.39570102;;;
96;RKLLW4Sl0JY;0DI3f-aVgx4;;Version;2.0;staff;0;0.9998038731770458;0.45524967;;;
96;p9hRj4TzIfA;5eQxteB72hQ;;Version;2.0;staff;0;0.9998043829421367;0.46068606;;;
96;1s_5oZqqVQk;02IVyYYb14s;;Version;2.0;staff;0;0.9998037998576104;0.46159124;;;
96;1s_5oZqqVQk;86jeSodhfXw;ditto_favs;Other;1.0;staff;0;0.9997970936319949;-0.010293565;0.9762361183507934;0.0;0.0
96;1s_5oZqqVQk;JmSXU6Yy45I;ditto_favs;Version;2.0;worker;0;0.9998043313629823;-0.007154587;0.0;0.9495985136257384;0.0
96;1s_5oZqqVQk;QbIphnGyAbE;re-move_favs;Other;1.0;worker;0;0.0006154841942035416;0.33223557;0.9875583397862489;0.0072376075272939;0.0072376075272939
96;1s_5oZqqVQk;TsLhh0MVc0M;mutual_unconfident;Version;2.0;worker;0;0.40734567420243695;0.2853441;0.8863164518439738;0.3344353845494657;0.2263363429018421
96;1s_5oZqqVQk;XxfBytzK6e4;mutual_unconfident;Other;1.0;worker;0;0.42230139940348355;0.081395656;0.8022547968750001;0.245196;0.11180728125
96;1s_5oZqqVQk;_MTXEMceIEw;ditto_favs;No Music;0.0;worker;0;0.9997976624977786;-0.018855546;0.1079284595394246;0.9681620013841408;0.1079284595394246
96;1s_5oZqqVQk;dWRCooFKk3c;mutual_unconfident;Other;1.0;worker;0;0.33851387071063377;0.18710059;0.976502859466252;0.0;0.0
96;1s_5oZqqVQk;girdko2YOjQ;re-move_favs;Version;2.0;worker;0;0.0006312920396118749;0.38348225;0.9102765642730886;0.0190345295314682;0.0190345295314682
96;1s_5oZqqVQk;jWHr3cA7ApM;re-move_favs;Other;1.0;worker;0;0.0006502702945205829;0.35858047;0.9330620252542065;0.0259774727446737;0.0259774727446737
96;S7PfDn0KhtI;BSJsP_EBhR4;;Other;1.0;staff;0;0.22146058380328604;-0.014707332;;;
96;S7PfDn0KhtI;vLCqzKOlZHs;;Version;2.0;staff;0;0.999804185412692;0.21480185;;;
157;Wo4GJ6YdDeY;-8HPq5zFM3M;ditto_favs;Other;1.0;expert;0;0.9998042083762789;0.01579872;0.9616808067340996;0.0;0.0
157;Wo4GJ6YdDeY;26nq96at878;mutual_unconfident;Other;1.0;expert;0;0.4764881624542302;0.23616351;0.989880017533888;0.0274182556194234;0.0274182556194234
157;Wo4GJ6YdDeY;2AuDhWiO2D4;re-move_favs;No Music;0.0;expert;0;0.0006222529118693476;0.4032616;0.9738868395618556;0.8116641229059277;0.8116641229059277
157;Wo4GJ6YdDeY;7yg05svXp98;re-move_favs;Other;1.0;worker;0;0.000615535671399492;0.40222284;0.9377503176016324;0.0;0.0
157;Wo4GJ6YdDeY;M04ynFYg19g;mutual_unconfident;Other;1.0;worker;0;0.4909511813535167;0.188498;0.9600493495904124;0.0137494429801274;0.0010490343408677
157;Wo4GJ6YdDeY;aKmd60VSJgE;mutual_unconfident;Other;1.0;worker;0;0.5005989220854135;0.23718575;0.9886769295279708;0.0;0.0
157;Wo4GJ6YdDeY;feVjdWuENiQ;re-move_favs;Version;2.0;expert;0;0.0006320484866774168;0.55709356;0.9960579012450408;0.0;0.0
157;Wo4GJ6YdDeY;o_ziuUbugug;ditto_favs;Other;1.0;worker;0;0.9998040350560526;-0.035859257;0.9996646033614578;0.0;0.0
157;Wo4GJ6YdDeY;psXowLH825w;ditto_favs;Other;1.0;expert;0;0.9997962144555661;0.010556008;0.9994900173611112;0.0;0.0
157;GoUKdLQ91Zc;711XEumlcXs;;Version;2.0;staff;0;0.9998038699979445;0.553297;;;
157;GoUKdLQ91Zc;kA4T9_C60jg;;No Music;0.0;staff;0;0.16620065832295416;0.07763543;;;
157;wPzxlhTv_-s;9m4QjDHgqzo;;Version;2.0;staff;0;0.9998044529672885;0.5597028;;;
157;JxRHGMi7MnQ;nDtoZ8M3Q50;;Version;2.0;staff;0;0.9998042721187907;0.61341715;;;
157;tOkYMw5-ZMg;TC-7q5cHu1Y;;Version;2.0;staff;0;0.9998042402034651;0.61007506;;;
157;K1ZJgKhdZ9U;_-bIgsou0y0;;Other;1.0;staff;0;0.0006535068675238564;0.3818689;;;
